OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Zone_Desc,Shape_STArea_1,Shape_STLength_1,Urban_Label,Shape__Area,Shape__Length
3365,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,4827.26367188,293.27024727,CPSART67,4827.263671875,293.270247265045
3366,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,4868.9206543,295.36434385,CPSART67,4868.92065429688,295.364343845498
3367,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,5181.16455078,301.93966856,CPSART67,5181.16455078125,301.939668560358
3368,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,4967.21411133,297.9089247,CPSART67,4967.21411132812,297.908924703462
3369,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,36393.6496582,792.59380331,CPSART67,36393.6496582031,792.593803308219
3370,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,95457.02490234,1656.10132785,CPSART67,95457.0249023438,1656.10132785497
3371,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,35949.86083984,846.56582765,1F6000ART67A,35949.8608398438,846.565827653099
3372,LI,Roslindale Neighborhood,10A-10B,67,Industrial,Roslindale Neighborhood LI,1,Local Industrial,47819.66870117,909.85381929,LIART67,47819.6687011719,909.853819291077
3373,LI,Roslindale Neighborhood,10A-10B,67,Industrial,Roslindale Neighborhood LI,1,Local Industrial,91865.33764648,1363.32436983,LIART67,91865.3376464844,1363.32436982847
3374,2F-5000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 2F-5000,0.5,Two-Family Residential,9328363.0546875,26143.63123024,2F5000ART67A,9328363.0546875,26143.6312302365
3375,LC,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood LC,0.5,Local Convenience,112193.23168945,1592.32614863,LCART67,112193.231689453,1592.32614862796
3376,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood MFR,1,Multifamily Residential,1063820.39331055,8889.64776071,MFRART67A,1063820.39331055,8889.64776070567
3377,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 3F-4000,0.8,Three-Family Residential,1657395.25390625,8531.25852954,3F4000ART67A,1657395.25390625,8531.25852954104
3378,OS-RC,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-RC,,Recreation Open Space,452572.18310547,2865.17287858,OSRCART67,452572.183105469,2865.17287858119
3379,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,79548.16308594,1732.5257252,NSART67,79548.1630859375,1732.52572520058
3380,CC-1,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood CC-1,1,Community Commercial,762703.71337891,10523.07670967,CC1ART67,762703.713378906,10523.0767096705
3381,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-UP,,Urban Plaza Open Space,4214.07373047,302.22510579,OSUPART67,4214.07373046875,302.225105793572
3382,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,144860.23266602,2156.58020506,NSART67,144860.232666016,2156.5802050632
3383,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 3F-4000,0.8,Three-Family Residential,325448.56420898,3465.77342137,3F4000ART67A,325448.564208984,3465.77342137392
3384,LC,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood LC,0.5,Local Convenience,53276.50341797,1482.17535542,LCART67,53276.5034179688,1482.17535542113
3385,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 3F-4000,0.8,Three-Family Residential,74126.3671875,1491.2823995,3F4000ART67A,74126.3671875,1491.28239949815
3386,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,54910.32983398,988.98442937,NSART67,54910.3298339844,988.984429367002
3387,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 3F-4000,0.8,Three-Family Residential,232463.58325195,2809.81414218,3F4000ART67A,232463.583251953,2809.81414218136
3388,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,100629.05200195,2473.2575084,NSART67,100629.052001953,2473.25750840485
3389,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,69769.66918945,1168.77975246,NSART67,69769.6691894531,1168.77975246354
3390,OS-RC,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-RC,,Recreation Open Space,363444.40332031,2462.64036544,OSRCART67,363444.403320312,2462.64036543513
3391,LC,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood LC,0.5,Local Convenience,51114.92602539,1340.27368512,LCART67,51114.9260253906,1340.27368511873
3392,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-UP,,Urban Plaza Open Space,1219.07275391,146.01351077,OSUPART67,1219.07275390625,146.013510773456
3393,CC-2,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood CC-2,2,Community Commercial,155675.41992188,2051.25840087,CC2ART67,155675.419921875,2051.25840086639
3394,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-UP,,Urban Plaza Open Space,2766.13623047,234.99904626,OSUPART67,2766.13623046875,234.999046262123
3395,OS-P,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-P,,Parkland Open Space,46044.4296875,958.48239233,OSPART67,46044.4296875,958.482392334468
3396,OS-UP,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-UP,,Urban Plaza Open Space,3138.39233398,279.99601687,OSUPART67,3138.39233398438,279.996016866829
3397,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,99383.76196289,1625.64058599,NSART67,99383.7619628906,1625.64058598533
3398,OS-CM,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-CM,,Cemetery Open Space,455403.71777344,2840.13377209,OSCMART67,455403.717773438,2840.13377208716
3399,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,363076.93725586,3675.98403369,1F6000ART67A,363076.937255859,3675.98403369482
3400,CC-1,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood CC-1,1,Community Commercial,1843982.05859375,7904.04772225,CC1ART67,1843982.05859375,7904.04772225323
3401,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,300602.19677734,3180.08544561,1F6000ART67A,300602.196777344,3180.0854456078
3402,OS-CM,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-CM,,Cemetery Open Space,7782987.17749023,13785.36124503,OSCMART67,7782987.17749023,13785.3612450255
3403,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,237534.54101563,3076.32146212,1F6000ART67A,237534.541015625,3076.32146212394
3404,LC,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood LC,0.5,Local Convenience,28851.53540039,774.87165466,LCART67,28851.5354003906,774.871654655546
3405,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,1062020.0300293,5590.81334097,1F6000ART67A,1062020.0300293,5590.81334097206
3406,LC,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood LC,0.5,Local Convenience,142782.52807617,2308.10658865,LCART67,142782.528076172,2308.10658865371
3407,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,304270.10205078,2630.42947968,1F6000ART67A,304270.102050781,2630.42947967842
3408,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,2142314.6003418,7354.41071035,1F6000ART67A,2142314.6003418,7354.41071035025
3409,OS-UW,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-UW,,Urban Wild Open Space,1306897.95605469,5468.31279697,OSUWART67,1306897.95605469,5468.31279697059
3410,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood MFR,1,Multifamily Residential,2030146.20507813,7260.83550863,MFRART67A,2030146.20507812,7260.835508626
3411,CC-1,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood CC-1,1,Community Commercial,236792.01318359,2138.18069764,CC1ART67,236792.013183594,2138.18069764466
3412,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,92552.18310547,1516.81745956,NSART67,92552.1831054688,1516.81745956073
3413,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 3F-4000,0.8,Three-Family Residential,357452.09423828,3480.74907377,3F4000ART67A,357452.094238281,3480.74907377329
3414,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,82056.72705078,1195.84214465,1F6000ART67A,82056.7270507812,1195.84214465318
3415,NS,Roslindale Neighborhood,10A-10B,67,Business,Roslindale Neighborhood NS,1,Neighborhood Shopping,233156.07250977,2229.87868563,NSART67,233156.072509766,2229.87868562833
3416,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood MFR,1,Multifamily Residential,263252.8605957,2662.82928497,MFRART67A,263252.860595703,2662.82928497224
3417,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,6886439.29589844,18647.0629294,1F6000ART67A,6886439.29589844,18647.0629293989
3418,OS-P,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-P,,Parkland Open Space,22322.01831055,1328.89158963,OSPART67,22322.0183105469,1328.89158962583
3419,OS-P,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-P,,Parkland Open Space,18754.13696289,613.54635508,OSPART67,18754.1369628906,613.54635508169
3420,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,137827.76977539,2789.27263448,CPSART67,137827.769775391,2789.27263447993
3421,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,310317.31665039,2543.38218846,CPSART67,310317.316650391,2543.38218846014
3422,2F-5000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 2F-5000,0.5,Two-Family Residential,642715.71289063,3547.58060127,2F5000ART67A,642715.712890625,3547.58060127251
3423,OS-RC,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-RC,,Recreation Open Space,321193.05859375,2367.19487373,OSRCART67,321193.05859375,2367.19487373106
3424,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,48928.47924805,1392.2301624,CPSART67,48928.4792480469,1392.23016240096
3425,LI,Roslindale Neighborhood,10A-10B,67,Industrial,Roslindale Neighborhood LI,1,Local Industrial,360364.24536133,3663.2968186,LIART67,360364.245361328,3663.29681859978
3426,3F-4000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 3F-4000,0.8,Three-Family Residential,65492.23193359,1207.14926249,3F4000ART67A,65492.2319335938,1207.14926248919
3427,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,884606.83325195,5100.11111287,1F6000ART67A,884606.833251953,5100.1111128682
3428,MFR,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood MFR,1,Multifamily Residential,246201.73339844,2592.5616822,MFRART67A,246201.733398438,2592.56168220113
3429,NS-1,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood NS-1,1,Neighborhood Shopping,687888.42675781,7027.81776308,NS1ART60,687888.426757812,7027.81776308205
3430,NS-2,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood NS-2,2,Neighborhood Shopping,228127.390625,2693.94193719,NS2ART60,228127.390625,2693.94193719096
3431,NS-2,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood NS-2,2,Neighborhood Shopping,225144.57885742,2701.70202908,NS2ART60,225144.578857422,2701.70202908241
3432,CEDAR GROVE WATERFRONT MANUFACTURING SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Industrial,Harborpark: Dorchester Bay/Neponset River Waterfront CEDAR GROVE WATERFRONT MANUFACTURING SUBDISTRI*,1,Waterfront Manufacturing,38954.04736328,872.68697178,CGWMSART42A,38954.0473632812,872.686971780545
3433,NS,Jamaica Plain Neighborhood,9A-9C,55,Business,Jamaica Plain Neighborhood NS,2,Neighborhood Shopping,119813.04711914,2752.76900679,NSART55,119813.047119141,2752.76900678676
3434,MFR,Dorchester Neighborhood,5A-5E,65,Residential,Dorchester Neighborhood MFR,1,Multifamily Residential,69093.33349609,1246.60167328,MFRART65A,69093.3334960938,1246.60167328261
3435,1F-6000,Hyde Park Neighborhood,12,69,Residential,Hyde Park Neighborhood 1F-6000,0.5,One-Family Residential,41851.84619141,995.46594673,1F6000ART69A,41851.8461914062,995.465946731813
3436,OS-CM,Hyde Park Neighborhood,12,69,Open Space,Hyde Park Neighborhood OS-CM,,Cemetery Open Space,287119.62182617,2468.83271531,OSCMART69,287119.621826172,2468.83271530774
